investigated_by,incident#,gps_latitude,gps_longitude,date,time,county,location,troop,misc_information
"TPR MILLER #935, ASSISTED BY RANDOLPH COUNTY SHERIFF'S DEPT AND MOBERLY PD",200618592,39.454955,-92.378558,12/10/2020,11:15PM,RANDOLPH,"US 24 2 MILES EAST OF MOBERLY, MO",B,VEH 1 WAS ATTEMPTING TO BACK INTO A SIDE ROAD TO TURN AROUND WHEN VEH 2 DROVE INTO THE TOWED UNIT OF VEH 1. BOTH VEHICLES CAME TO REST IN THE ROADWAY.
TPR. B. A. DETTENWANGER (1323).,200179998,0,0,4/19/2020,2:25PM,MORGAN,PRIVATE FIELD OFF U.S. 50 APPROXIMATELY 1 MILE EAST OF MORGAN COUNTY DRIVE,F,CRASH OCCURRED AS VEHICLE 1 WAS TRAVELLING EASTBOUND THROUGH A FIELD AND STRUCK A TREE.
CPL G. HENDRIX #612,200172222,36.5289722,-94.562083,4/11/2020,5:05PM,MCDONALD,RT MM 2 MILES EAST OF SOUTHWEST CITY,D,ACCIDENT OCCURRED AS NBR 1 TRAVELED OFF THE ROADWAY AND STRUCK A FENCE AND OVERTURNED.
CPL. D. L. JOHNSON #309,190753413,37.270583,-93.074306,12/30/2019,8:25PM,WEBSTER,EVERGREEN ROAD IN STRAFFORD,D,THE PEDESTRIAN WAS WALKING IN THE ROADWAY AND WAS STRUCK BY VEHICLE #1.
TPR J.S. SCHWARTZ #1218,200157706,36.6071944,-92.863833,3/26/2020,2:10PM,TANEY,MO 125 5 MILES NORTH OF PROTEM,D,"CRASH OCCURRED AS VEHICLE 1 TRAVELED OFF THE RIGHT SIDE OF THE ROADWAY, RETURNED TO THE ROADWAY, OVERTURNED AND SLID TO A REST."
TPR A D BAKER (151) AND MSGT P J KEMPKE (982) OF THE MCIU #2,200421375,38.7322777,-90.246222,8/27/2020,9:15PM,ST. LOUIS,HALLS FERRY ROAD AT COZENS AVENUE,C,"FATALITY REPORT- VEHICLE 1 WAS TRAVELING SOUTHBOUND ON HALLS FERRY ROAD AT COZENS AVENUE. VEHICLE 2 WAS TRAVELING NORTHBOUND ON HALLS FERRY ROAD IN THE CENTER TURN LANE ATTEMPTING TO TURN WESTBOUND ON COZENS AVENUE. DRIVER 1 WAS EXCEEDING THE POSTED SPEED LIMIT.  DRIVER 2 FAILED TO YIELD TO ONCOMING TRAFFIC CAUSING THE FRONT OF VEHICLE 1 TO STRIKE THE PASSENGER SIDE OF VEHICLE 2. VEHICLE 1 THEN STRUCK A CURB AND TRAVELED OFF THE RIGHT SIDE OF THE ROADWAY. VEHICLE 2 THEN STRUCK A CURB, EJECTING PASSENGER 1. VEHICLE 2 OVERTURNED, TRAVELED OFF THE RIGHT SIDE OF THE ROADWAY, AND STRUCK A  SIGN AND A POLE. THE DRIVER OF VEHICLE 2 WAS PRONOUNCED DECEASED ON SCENE BY DOCTOR MECKER WITH CHRISTIAN NORTHEAST HOSPITAL AT 2135 HOURS. THE PASSENGER OF VEHICLE 2 WAS PRONOUNCED DECEASED ON SCENE BY DR BURNHARDSON WITH CHRISTIAN NORTHEAST HOSPITAL AT 2134 HOURS. ASSISTED BY CPL M A FRIGY (547), TPR Z T MICKS (475) AND TPR L A BENKE (156)."
CPL B E THOMAN /1256/,200274417,39.159924,-94.495008,6/15/2020,5:20AM,CLAY,MO 210 WESTBOUND AT RANDOLPH RD,A,"***LATE DEATH REPORT***NEXT OF KIN NOTIFIED*** TROOP A FATAL CRASH #28, FATALITY #33 FOR 2020*** CRASH OCCURRED AS VEHICLE 1 TRAVELLED OFF THE LEFT SIDE OF THE ROADWAY AND STRUCK A CURB. VEHICLE 1 OVERTURNED AND DRIVER 1 WAS EJECTED. DRIVER PRONOUNCED AT NORTH KANSAS CITY HOSPITAL AT 1458 BY INTENSIVIST DOCTOR TOSH. ASSISTED BY TPR B R SIERCKS /1252/ AND CLAY COUNTY SHERIFF'S DEPARTMENT."
"CPL FESSLER #992. ASSISTED BY TPR PEARSON #1424, SULLIVAN COUNTY SHERIFF'S DEPARTMENT, GALT RURAL FIRE DEPARTMENT AND SULLIVAN COUNTY AMBULANCE.",200447214,40.097924,-93.319488,9/7/2020,12:50PM,SULLIVAN,MO 139  1.5 MILES SOUTH OF HUMPHREYS,B,"FATALITY ACCIDENT - LATE DEATH   - NEXT OF KIN NOTIFIED  -  VEHICLE 1 STRUCK A DEER IN THE ROAD, EJECTING BOTH OCCUPANTS, AND THEN TRAVELED  OFF THE RIGHT SIDE OF THE ROAD. DRIVER WAS PRONOUNCED DECEASED ON SEPTEMBER 12TH AT 1338 HOURS BY DR. AREIL ALMQUIST AT UNIVERSITY HOSPITAL IN COLUMBIA."
TPR C.A. VOLLE (738),200159456,38.64951,-91.13904,3/28/2020,2:59PM,WARREN,CONCORD VIEW RD .4 MILE FROM CONCORD HILL RD,C,LATE DEATH REPORT -DRIVER 1 FAILED TO NEGOTIATE A CURVE TO THE RIGHT CAUSING VEHICLE 1 TO TRAVEL OFF THE LEFT SIDE OF THE ROADWAY AND STRIKE A CULVERT. DRIVER 1 PRONOUNCED BY ST LOUIS CHILDRENS HOSPITAL DR A STEED AT 1526 HOURS ON 04022020.  ASSISTED MY MSGT G.C. SWARTZ (705)
TPR A R SHIPLEY #798 ASSISTED BY TPR C C WAKEFIELD #1438,200357649,37.5538611,-90.202138,7/25/2020,6:24PM,MADISON,COUNTY ROAD 208 -  5 MILES EAST OF FREDERICKTOWN,E,FATALITY REPORT-NEXT OF KIN NOTIFIED-PRONOUNCED AT PARKLAND HEALTHCARE BY DR RICHARD SCHMIDT ON 20200725 AT 2005 HOURS- CRASH OCCURRED AS VEHICLE ONE WAS TRAVELLING EASTBOUND AND PASSENGER FELL OUT OF UNENCLOSED BED -TROOP E FATALITY # 30 FOR 2020
